Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code_postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Nombre_d_eleves;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordX_origine;coordY_origine;epsg_origine;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;multi_uai;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_circonscription;code_zone_animation_pedagogique;libelle_zone_animation_pedagogique;code_bassin_formation;libelle_bassin_formation
0801336T;Lycée professionnel Édouard Branly;Lycée;Public;70 boulevard de Saint-Quentin;Cité scolaire;;80000;80021;Amiens;080;20;32;;;0;0;1;03 22 53 49 60;;https://lycee-edouard-branly-amiens.80.ac-amiens.fr/;ce.0801327h@ac-amiens.fr;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;;1;19801336900014;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2005;49.8791074014261, 2.2971710512012264;SANS OBJET;Somme;Amiens;Hauts-de-France;649444.0;6975821.7;EPSG:2154;;49.8791074014261;2.2971710512012264;Numéro de rue;1969-10-28;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;320;LYCEE PROFESSIONNEL;99;0800009A;;;;;;20808;AMIENS SUD
0600016S;Lycée professionnel industriel Mireille Grenet;Lycée;Public;13 avenue de Huy;;;60200;60159;Compiègne;060;20;32;;;0;0;1;03 44 92 28 00;;https://www.lycee-mireille-grenet.fr/;Ce.0600015R@ac-amiens.fr;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;;1;19600016000016;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2208;49.40100079008355, 2.817170148368486;SANS OBJET;Oise;Amiens;Hauts-de-France;686725.3;6922406.1;EPSG:2154;;49.40100079008355;2.817170148368486;Numéro de rue;1965-05-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;320;LYCEE PROFESSIONNEL;99;0600015R;;;;;;20607;OISE ORIENTALE
0600041U;Lycée professionnel Charles de Bovelles;Lycée;Public;Rue Jean Moulin;BP 10152;;60401;60471;Noyon;060;20;32;;;0;0;1;03 44 93 47 00;;https://cite-scolaire-noyon.60.ac-amiens.fr/;Ce.0600041U@ac-amiens.fr;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;;1;19600041800018;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3982;49.584183205634986, 3.0149995588661773;SANS OBJET;Oise;Amiens;Hauts-de-France;701085.2;6942772.8;EPSG:2154;;49.584183205634986;3.0149995588661773;Rue;1965-05-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;320;LYCEE PROFESSIONNEL;99;0600040T;;;;;;20607;OISE ORIENTALE
0020007X;Collège Henri Matisse;Collège;Public;6 rue de la République;;;02110;02095;Bohain-en-Vermandois;002;20;32;;;0;0;0;03 23 68 96 11;;;Ce.0020007X@ac-amiens.fr;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;REP+;1;19020007100016;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5473;49.98510333789957, 3.4561299688747322;SANS OBJET;Aisne;Amiens;Hauts-de-France;732742.5;6987491.1;EPSG:2154;Circonscription d'inspection du 1er degré de Guise;49.98510333789957;3.4561299688747322;Numéro de rue;1965-05-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0020007X;;;0020211U;;;20027;SAINT QUENTIN - CHAUNY
0601487R;Collège George Sand;Collège;Public;25 rue de Tillé;BP 10637;;60006;60057;Beauvais;060;20;32;;;0;0;0;03 44 05 06 55;;;Ce.0601487R@ac-amiens.fr;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;;1;19601487200010;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1963;49.45063238324752, 2.085210349717758;SANS OBJET;Oise;Amiens;Hauts-de-France;633645.4;6928297.0;EPSG:2154;Circonscription d'inspection du 1er degré de Beauvais Nord;49.45063238324752;2.085210349717758;Numéro de rue;1975-04-18;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0601487R;;;0602075E;;;20608;OISE OCCIDENTALE
0020080B;Collège Pierre de la Ramée;Collège;Public;2 rue de Metz;;;02100;02691;Saint-Quentin;002;20;32;;;0;0;0;03 23 62 28 19;;;Ce.0020080B@ac-amiens.fr;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;;1;19020080800011;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2723;49.849158048840344, 3.2913199493838197;SANS OBJET;Aisne;Amiens;Hauts-de-France;720967.8;6972301.6;EPSG:2154;Circonscription d'inspection du 1er degré de Saint-Quentin;49.849158048840344;3.2913199493838197;Numéro de rue;1965-11-18;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0020080B;;;0020209S;;;20027;SAINT QUENTIN - CHAUNY
0020011B;Collège François Truffaut;Collège;Public;10 rue Paul Hivet;BP 30;;02310;02163;Charly-sur-Marne;002;20;32;;;0;0;0;03 23 82 52 30;;;Ce.0020011B@ac-amiens.fr;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;1;19020011300016;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10356;48.97509888133584, 3.278359722782455;SANS OBJET;Aisne;Amiens;Hauts-de-France;720377.8;6875053.4;EPSG:2154;Circonscription d'inspection du 1er degré de Château-Thierry;48.97509888133584;3.278359722782455;Numéro de rue;1965-05-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0020011B;;;0022106D;;;20029;SUD-AISNE
0600046Z;Collège de Marly;Collège;Public;74 avenue Montesquieu;;;60170;60537;Ribécourt-Dreslincourt;060;20;32;;;0;0;0;03 44 75 55 80;;;Ce.0600046Z@ac-amiens.fr;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;1;19600046700015;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12891;49.50818880802897, 2.921980099529408;SANS OBJET;Oise;Amiens;Hauts-de-France;694347.0;6934319.4;EPSG:2154;Circonscription d'inspection du 1er degré de Noyon;49.50818880802897;2.921980099529408;Numéro de rue;1965-05-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0600046Z;;;0600101J;;;20607;OISE ORIENTALE
0601799E;Collège Le Point du Jour;Collège;Public;Rue du Bel Air;;;60390;60029;Auneuil;060;20;32;;;0;0;0;03 44 84 46 56;;https://college-le-point-du-jour-auneuil.60.ac-amiens.fr/;Ce.0601799E@ac-amiens.fr;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;;1;19600072300011;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12489;49.36809186333661, 1.9905494408089672;SANS OBJET;Oise;Amiens;Hauts-de-France;626662.1;6919198.3;EPSG:2154;Circonscription d'inspection du 1er degré d'Auneuil;49.36809186333661;1.9905494408089672;Numéro de rue;1986-09-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0601799E;;;0600096D;;;20608;OISE OCCIDENTALE
0020066L;Collège Marcel Pagnol;Collège;Public;Rue Charles de Gaulle;;;02490;02785;Vermand;002;20;32;;;0;0;0;03 23 66 51 38;;https://college-marcel-pagnol-vermand.02.ac-amiens.fr/;Ce.0020066L@ac-amiens.fr;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;19020066700011;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8602;49.87772579721371, 3.142815017493035;SANS OBJET;Aisne;Amiens;Hauts-de-France;710273.4;6975452.2;EPSG:2154;Circonscription d'inspection du 1er degré de Saint-Quentin Nord;49.87772579721371;3.142815017493035;Numéro de rue;1965-05-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0020066L;;;0020210T;;;20027;SAINT QUENTIN - CHAUNY
